,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
43,2010,AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.6,17.7,16.0,407.0
44,2010,AUDI,S4,COMPACT,3.0,6,AS7,Z,13.6,9.4,11.7,24.0,269.0
45,2010,AUDI,S4,COMPACT,3.0,6,M6,Z,13.7,9.6,11.9,24.0,274.0
46,2010,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,AS7,Z,14.5,9.6,12.3,23.0,283.0
47,2010,AUDI,S5 COUPE,SUBCOMPACT,4.2,8,AS6,Z,14.4,10.5,12.6,22.0,290.0
48,2010,AUDI,S5 COUPE,SUBCOMPACT,4.2,8,M6,Z,16.8,11.1,14.2,20.0,327.0
49,2010,AUDI,S6,MID-SIZE,5.2,10,AS6,Z,16.9,12.2,14.8,19.0,340.0
50,2010,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AS6,Z,11.1,8.5,9.9,29.0,228.0
51,2010,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AS6,Z,11.1,8.5,9.9,29.0,228.0
52,2010,BENTLEY,AZURE,MID-SIZE,6.8,8,AS6,Z,24.9,15.3,20.6,14.0,474.0
53,2010,BENTLEY,CONTINENTAL FLYING SPUR,MID-SIZE,6.0,12,AS6,Z,23.0,13.9,18.9,15.0,435.0
54,2010,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS6,Z,22.4,13.6,18.5,15.0,426.0
55,2010,BENTLEY,CONTINENTAL GTC,COMPACT,6.0,12,AS6,Z,23.0,13.9,18.9,15.0,435.0
56,2010,BENTLEY,CONTINENTAL SUPERSPORTS,TWO-SEATER,6.0,12,AS6,Z,20.0,13.3,17.0,17.0,391.0
57,2010,BMW,128i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,12.8,8.8,11.0,26.0,253.0
58,2010,BMW,128i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.2,8.2,10.4,27.0,239.0
59,2010,BMW,128i COUPE,SUBCOMPACT,3.0,6,A6,Z,12.8,8.2,10.7,26.0,246.0
60,2010,BMW,128i COUPE,SUBCOMPACT,3.0,6,M6,Z,12.2,8.2,10.4,27.0,239.0
61,2010,BMW,135i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,13.4,9.4,11.6,24.0,267.0
62,2010,BMW,135i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,13.1,9.1,11.3,25.0,260.0
63,2010,BMW,135i COUPE,SUBCOMPACT,3.0,6,A6,Z,13.4,9.4,11.6,24.0,267.0
64,2010,BMW,135i COUPE,SUBCOMPACT,3.0,6,M6,Z,13.1,9.1,11.3,25.0,260.0
65,2010,BMW,323i,COMPACT,2.5,6,A6,Z,12.7,8.0,10.6,27.0,244.0
66,2010,BMW,323i,COMPACT,2.5,6,M6,Z,12.6,8.2,10.6,27.0,244.0
67,2010,BMW,328i,COMPACT,3.0,6,A6,Z,12.8,8.2,10.7,26.0,246.0
68,2010,BMW,328i,COMPACT,3.0,6,M6,Z,12.2,8.2,10.4,27.0,239.0
69,2010,BMW,328i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,12.8,8.8,11.0,26.0,253.0
70,2010,BMW,328i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,13.7,8.8,11.5,25.0,265.0
71,2010,BMW,328i COUPE,SUBCOMPACT,3.0,6,A6,Z,12.8,8.2,10.7,26.0,246.0
72,2010,BMW,328i COUPE,SUBCOMPACT,3.0,6,M6,Z,12.2,8.2,10.4,27.0,239.0
73,2010,BMW,328i xDRIVE,COMPACT,3.0,6,A6,Z,13.4,9.3,11.5,25.0,265.0
74,2010,BMW,328i xDRIVE,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24.0,267.0
75,2010,BMW,328i xDRIVE COUPE,SUBCOMPACT,3.0,6,A6,Z,13.4,9.3,11.5,25.0,265.0
76,2010,BMW,328i xDRIVE COUPE,SUBCOMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24.0,267.0
77,2010,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,3.0,6,A6,Z,13.4,9.3,11.5,25.0,265.0
78,2010,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,3.0,6,M6,Z,13.7,9.0,11.6,24.0,267.0
79,2010,BMW,335d,COMPACT,3.0,6,A6,D,10.3,6.5,8.6,33.0,232.0
80,2010,BMW,335i,COMPACT,3.0,6,A6,Z,13.3,8.9,11.3,25.0,260.0
81,2010,BMW,335i,COMPACT,3.0,6,M6,Z,13.2,9.0,11.3,25.0,260.0
82,2010,BMW,335i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,13.3,8.9,11.3,25.0,260.0
83,2010,BMW,335i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,13.2,9.0,11.3,25.0,260.0
84,2010,BMW,335i COUPE,SUBCOMPACT,3.0,6,A6,Z,13.3,8.9,11.3,25.0,260.0
85,2010,BMW,335i COUPE,SUBCOMPACT,3.0,6,M6,Z,13.2,9.0,11.3,25.0,260.0
86,2010,BMW,335i xDRIVE,COMPACT,3.0,6,A6,Z,13.8,9.4,11.8,24.0,271.0
87,2010,BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,13.6,9.4,11.7,24.0,269.0
88,2010,BMW,335i xDRIVE COUPE,SUBCOMPACT,3.0,6,A6,Z,13.8,9.4,11.8,24.0,271.0
89,2010,BMW,335i xDRIVE COUPE,SUBCOMPACT,3.0,6,M6,Z,13.6,9.4,11.7,24.0,269.0
90,2010,BMW,528i,MID-SIZE,3.0,6,A6,Z,12.8,8.8,11.0,26.0,253.0
91,2010,BMW,528i,MID-SIZE,3.0,6,M6,Z,12.2,8.2,10.4,27.0,239.0
92,2010,BMW,528i xDRIVE,MID-SIZE,3.0,6,A6,Z,13.4,9.3,11.5,25.0,265.0
93,2010,BMW,528i xDRIVE,MID-SIZE,3.0,6,M6,Z,13.7,9.0,11.6,24.0,267.0
94,2010,BMW,535i GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.1,8.5,10.5,27.0,242.0
95,2010,BMW,535i xDRIVE,MID-SIZE,3.0,6,A6,Z,13.8,9.4,11.8,24.0,271.0
96,2010,BMW,535i xDRIVE,MID-SIZE,3.0,6,M6,Z,13.6,9.4,11.7,24.0,269.0
97,2010,BMW,535i xDRIVE TOURING,STATION WAGON - MID-SIZE,3.0,6,A6,Z,14.4,9.7,12.3,23.0,283.0
98,2010,BMW,535i xDRIVE TOURING,STATION WAGON - MID-SIZE,3.0,6,M6,Z,15.1,10.1,12.8,22.0,294.0
99,2010,BMW,550i,MID-SIZE,4.8,8,A6,Z,15.1,10.1,12.8,22.0,294.0
100,2010,BMW,550i,MID-SIZE,4.8,8,M6,Z,15.6,10.6,13.4,21.0,308.0
101,2010,BMW,550i GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.6,10.9,13.5,21.0,311.0
102,2010,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,A6,Z,15.6,10.3,13.2,21.0,304.0
103,2010,BMW,650i CABRIOLET,SUBCOMPACT,4.8,8,M6,Z,16.7,11.3,14.3,20.0,329.0
104,2010,BMW,650i COUPE,SUBCOMPACT,4.8,8,A6,Z,15.1,10.1,12.8,22.0,294.0
105,2010,BMW,650i COUPE,SUBCOMPACT,4.8,8,M6,Z,15.6,10.6,13.4,21.0,308.0
106,2010,BMW,750i,FULL-SIZE,4.4,8,A6,Z,16.1,10.7,13.7,21.0,315.0
107,2010,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A6,Z,17.1,11.8,14.7,19.0,338.0
108,2010,BMW,750Li,FULL-SIZE,4.4,8,A6,Z,16.5,11.0,14.0,20.0,322.0
109,2010,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A6,Z,17.1,11.8,14.7,19.0,338.0
110,2010,BMW,760Li,FULL-SIZE,6.0,12,A8,Z,17.6,12.0,15.1,19.0,347.0
111,2010,BMW,ACTIVEHYBRID X6,SUV,4.4,8,A7,Z,14.2,12.1,13.2,21.0,304.0
112,2010,BMW,M3 CABRIOLET,SUBCOMPACT,4.0,8,AM7,Z,17.3,11.9,14.9,19.0,343.0
113,2010,BMW,M3 CABRIOLET,SUBCOMPACT,4.0,8,M6,Z,17.4,11.9,14.9,19.0,343.0
114,2010,BMW,M3 COUPE,SUBCOMPACT,4.0,8,AM7,Z,17.1,11.7,14.7,19.0,338.0
115,2010,BMW,M3 COUPE,SUBCOMPACT,4.0,8,M6,Z,17.0,11.4,14.5,19.0,334.0
116,2010,BMW,M3 SEDAN,COMPACT,4.0,8,AM7,Z,17.1,11.7,14.7,19.0,338.0
117,2010,BMW,M3 SEDAN,COMPACT,4.0,8,M6,Z,17.0,11.4,14.5,19.0,334.0
118,2010,BMW,M5,MID-SIZE,5.0,10,AM7,Z,19.8,12.9,16.7,17.0,384.0
119,2010,BMW,M5,MID-SIZE,5.0,10,M6,Z,21.9,13.8,18.3,15.0,421.0
120,2010,BMW,M6 CABRIOLET,SUBCOMPACT,5.0,10,AM7,Z,19.9,12.7,16.6,17.0,382.0
121,2010,BMW,M6 CABRIOLET,SUBCOMPACT,5.0,10,M6,Z,22.3,13.7,18.5,15.0,426.0
122,2010,BMW,M6 COUPE,SUBCOMPACT,5.0,10,AM7,Z,19.8,12.9,16.7,17.0,384.0
123,2010,BMW,M6 COUPE,SUBCOMPACT,5.0,10,M6,Z,21.9,13.8,18.3,15.0,421.0
124,2010,BMW,X3 xDRIVE28i,SUV,3.0,6,A6,Z,13.7,9.8,12.0,24.0,276.0
125,2010,BMW,X3 xDRIVE28i,SUV,3.0,6,M6,Z,14.3,9.8,12.3,23.0,283.0
126,2010,BMW,X3 xDRIVE30i,SUV,3.0,6,A6,Z,13.7,9.8,12.0,24.0,276.0
127,2010,BMW,X3 xDRIVE30i,SUV,3.0,6,M6,Z,14.3,9.8,12.3,23.0,283.0
128,2010,BMW,X5 M,SUV,4.4,8,A6,Z,18.8,13.9,16.6,17.0,382.0
129,2010,BMW,X5 xDRIVE30i,SUV,3.0,6,A6,Z,15.2,11.0,13.3,21.0,306.0
130,2010,BMW,X5 xDRIVE35d,SUV,3.0,6,A6,D,12.1,8.9,10.7,26.0,289.0
131,2010,BMW,X5 xDRIVE48i,SUV,4.8,8,A6,Z,17.3,12.0,14.9,19.0,343.0
132,2010,BMW,X6 M,SUV,4.4,8,A6,Z,18.8,13.9,16.6,17.0,382.0
133,2010,BMW,X6 xDRIVE35i,SUV,3.0,6,A6,Z,16.1,11.8,14.1,20.0,324.0
134,2010,BMW,X6 xDRIVE50i,SUV,4.4,8,A6,Z,18.9,12.9,16.2,17.0,373.0
135,2010,BMW,Z4 sDRIVE30i,TWO-SEATER,3.0,6,A6,Z,12.8,8.2,10.7,26.0,246.0
136,2010,BMW,Z4 sDRIVE30i,TWO-SEATER,3.0,6,M6,Z,12.2,8.2,10.4,27.0,239.0
137,2010,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.6,9.7,11.9,24.0,274.0
138,2010,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,13.1,9.1,11.3,25.0,260.0
139,2010,BUGATTI,VEYRON,TWO-SEATER,8.0,16,AS7,Z,30.0,18.1,24.6,11.0,566.0
140,2010,BUICK,ENCLAVE,SUV,3.6,6,A6,X,14.3,9.9,12.3,23.0,283.0
141,2010,BUICK,ENCLAVE AWD,SUV,3.6,6,A6,X,15.0,10.6,13.0,22.0,299.0
142,2010,BUICK,LACROSSE,MID-SIZE,3.0,6,AS6,X,14.3,9.1,12.0,24.0,276.0
143,2010,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,Z,13.7,8.7,11.5,25.0,265.0
144,2010,BUICK,LACROSSE AWD,MID-SIZE,3.0,6,AS6,X,14.9,9.5,12.5,23.0,288.0
145,2010,BUICK,LUCERNE,FULL-SIZE,3.9,6,A4,X,13.5,8.8,11.4,25.0,262.0
146,2010,BUICK,LUCERNE,FULL-SIZE,3.9,6,A4,E,18.1,11.9,15.3,18.0,245.0
147,2010,BUICK,LUCERNE,FULL-SIZE,4.6,8,A4,Z,15.4,10.3,13.1,22.0,301.0
148,2010,CADILLAC,CTS,MID-SIZE,3.0,6,AS6,X,12.8,8.6,10.9,26.0,251.0
149,2010,CADILLAC,CTS,MID-SIZE,3.6,6,AS6,X,12.9,8.2,10.8,26.0,248.0
150,2010,CADILLAC,CTS,MID-SIZE,3.6,6,M6,X,14.6,9.4,12.2,23.0,281.0
151,2010,CADILLAC,CTS AWD,MID-SIZE,3.0,6,AS6,X,13.4,9.1,11.5,25.0,265.0
152,2010,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,X,13.2,8.8,11.2,25.0,258.0
153,2010,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,12.8,8.6,10.9,26.0,251.0
154,2010,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25.0,260.0
155,2010,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,13.4,9.1,11.5,25.0,265.0
156,2010,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.2,8.8,11.2,25.0,258.0
157,2010,CADILLAC,CTS-V,MID-SIZE,6.2,8,AS6,Z,19.4,12.9,16.5,17.0,380.0
158,2010,CADILLAC,CTS-V,MID-SIZE,6.2,8,M6,Z,16.6,12.3,14.7,19.0,338.0
159,2010,CADILLAC,DTS,FULL-SIZE,4.6,8,A4,Z,15.4,10.3,13.1,22.0,301.0
160,2010,CADILLAC,ESCALADE AWD,SUV,6.2,8,A6,Z,17.0,11.9,14.7,19.0,338.0
161,2010,CADILLAC,ESCALADE AWD,SUV,6.2,8,A6,E,23.3,15.5,19.8,14.0,317.0
162,2010,CADILLAC,SRX,SUV,3.0,6,AS6,X,13.0,9.5,11.4,25.0,262.0
163,2010,CADILLAC,SRX AWD,SUV,2.8,6,AS6,Z,15.2,10.7,13.2,21.0,304.0
164,2010,CADILLAC,SRX AWD,SUV,3.0,6,AS6,X,13.7,10.4,12.2,23.0,281.0
165,2010,CADILLAC,STS,MID-SIZE,3.6,6,AS6,X,12.9,8.2,10.8,26.0,248.0
166,2010,CADILLAC,STS,MID-SIZE,4.6,8,AS6,Z,15.7,9.6,13.0,22.0,299.0
167,2010,CADILLAC,STS AWD,MID-SIZE,3.6,6,AS6,X,13.2,8.8,11.2,25.0,258.0
168,2010,CADILLAC,STS AWD,MID-SIZE,4.6,8,AS6,Z,15.9,10.7,13.6,21.0,313.0
169,2010,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.1,11.3,13.9,20.0,320.0
170,2010,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.6,14.7,18.5,15.0,296.0
171,2010,CHEVROLET,AVEO,COMPACT,1.6,4,A4,X,9.5,7.0,8.3,34.0,191.0
172,2010,CHEVROLET,AVEO,COMPACT,1.6,4,M5,X,8.7,6.8,7.9,36.0,182.0
173,2010,CHEVROLET,AVEO 5,SUBCOMPACT,1.6,4,A4,X,9.5,7.0,8.3,34.0,191.0
174,2010,CHEVROLET,AVEO 5,SUBCOMPACT,1.6,4,M5,X,8.7,6.8,7.9,36.0,182.0
175,2010,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,12.9,8.2,10.8,26.0,248.0
176,2010,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,13.8,8.1,11.3,25.0,260.0
177,2010,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,14.8,9.4,12.3,23.0,283.0
178,2010,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,14.8,9.7,12.5,23.0,288.0
179,2010,CHEVROLET,COBALT,COMPACT,2.2,4,A4,X,10.0,7.1,8.7,32.0,200.0
180,2010,CHEVROLET,COBALT,COMPACT,2.2,4,M5,X,9.7,7.0,8.5,33.0,196.0
181,2010,CHEVROLET,COBALT SS,SUBCOMPACT,2.0,4,M5,Z,10.6,7.9,9.4,30.0,216.0
182,2010,CHEVROLET,COBALT XFE,SUBCOMPACT,2.2,4,M5,X,9.3,6.5,8.0,35.0,184.0
183,2010,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.9,4,A4,X,12.9,9.6,11.4,25.0,262.0
184,2010,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.9,4,M5,X,12.8,9.3,11.2,25.0,258.0
185,2010,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.7,5,A4,X,14.0,10.3,12.4,23.0,285.0
186,2010,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,5.3,8,A4,X,16.1,11.7,14.1,20.0,324.0
187,2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.9,4,A4,X,13.5,10.1,12.0,24.0,276.0
188,2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.9,4,M5,X,13.2,9.6,11.6,24.0,267.0
189,2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.7,5,A4,X,14.5,10.6,12.7,22.0,292.0
190,2010,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,5.3,8,A4,X,17.0,12.2,14.9,19.0,343.0
191,2010,CHEVROLET,COLORADO CHASSIS CAB,PICKUP TRUCK - SMALL,3.7,5,A4,X,15.5,12.0,13.9,20.0,320.0
192,2010,CHEVROLET,COLORADO CHASSIS CAB 4WD,PICKUP TRUCK - SMALL,3.7,5,A4,X,14.9,11.0,13.1,22.0,301.0
193,2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,2.9,4,A4,X,13.0,9.6,11.5,25.0,265.0
194,2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,2.9,4,M5,X,12.9,9.3,11.2,25.0,258.0
195,2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,3.7,5,A4,X,14.2,10.4,12.5,23.0,288.0
196,2010,CHEVROLET,COLORADO CREW CAB,PICKUP TRUCK - SMALL,5.3,8,A4,X,16.1,11.7,14.1,20.0,324.0
197,2010,CHEVROLET,COLORADO CREW CAB 4WD,PICKUP TRUCK - SMALL,3.7,5,A4,X,14.9,11.0,13.1,22.0,301.0
198,2010,CHEVROLET,COLORADO CREW CAB 4WD,PICKUP TRUCK - SMALL,5.3,8,A4,X,17.0,12.2,14.9,19.0,343.0
199,2010,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,16.0,9.6,13.1,22.0,301.0
200,2010,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M6,Z,14.5,9.1,12.1,23.0,278.0
201,2010,CHEVROLET,CORVETTE Z06,TWO-SEATER,7.0,8,M6,Z,15.9,9.7,13.1,22.0,301.0
202,2010,CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8,M6,Z,17.2,12.0,14.9,19.0,343.0
203,2010,CHEVROLET,EQUINOX,SUV,2.4,4,A6,X,10.5,7.3,9.1,31.0,209.0
204,2010,CHEVROLET,EQUINOX,SUV,3.0,6,A6,X,13.9,9.5,11.9,24.0,274.0
205,2010,CHEVROLET,EQUINOX AWD,SUV,2.4,4,A6,X,11.5,8.2,10.0,28.0,230.0
206,2010,CHEVROLET,EQUINOX AWD,SUV,3.0,6,A6,X,13.8,9.9,12.1,23.0,278.0
207,2010,CHEVROLET,EXPRESS CARGO,VAN - CARGO,4.3,6,A4,X,15.7,11.8,14.0,20.0,322.0
208,2010,CHEVROLET,EXPRESS CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18.0,366.0
209,2010,CHEVROLET,EXPRESS CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14.0,334.0
210,2010,CHEVROLET,EXPRESS CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.1,16.4,17.0,377.0
211,2010,CHEVROLET,EXPRESS CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.5,18.4,21.2,13.0,339.0
212,2010,CHEVROLET,EXPRESS CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17.0,380.0
213,2010,CHEVROLET,EXPRESS CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13.0,344.0
214,2010,CHEVROLET,EXPRESS CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.4,17.0,377.0
215,2010,CHEVROLET,EXPRESS CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12.0,362.0
216,2010,CHEVROLET,EXPRESS PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17.0,380.0
217,2010,CHEVROLET,EXPRESS PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13.0,344.0
218,2010,CHEVROLET,EXPRESS PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.4,17.0,377.0
219,2010,CHEVROLET,EXPRESS PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12.0,362.0
220,2010,CHEVROLET,HHR,SUV,2.2,4,A4,X,11.0,7.8,9.5,30.0,219.0
221,2010,CHEVROLET,HHR,SUV,2.2,4,A4,E,14.8,10.6,12.9,22.0,206.0
222,2010,CHEVROLET,HHR,SUV,2.2,4,M5,X,10.5,7.3,9.1,31.0,209.0
223,2010,CHEVROLET,HHR,SUV,2.2,4,M5,E,14.2,10.2,12.4,23.0,198.0
224,2010,CHEVROLET,HHR,SUV,2.4,4,A4,Z,10.9,8.0,9.6,29.0,221.0
225,2010,CHEVROLET,HHR,SUV,2.4,4,A4,E,15.3,11.1,13.4,21.0,214.0
226,2010,CHEVROLET,HHR,SUV,2.4,4,M5,Z,10.9,7.9,9.5,30.0,219.0
227,2010,CHEVROLET,HHR,SUV,2.4,4,M5,E,14.2,10.4,12.5,23.0,200.0
228,2010,CHEVROLET,HHR PANEL,SUV,2.2,4,A4,X,11.0,7.8,9.5,30.0,219.0
